ProjectID,ProjectTitle,Abstract,fromUpdate900,Individual,Interpersonal,Organizational,Community,Policy,Not.Applicable,Flag,Description,haveSEM
20191180,Automatic generation of computer interpretable guidelines,"Compliance with clinical practice guidelines (CPGs) has been demonstrated to markedly improve patient care, but the tools and processes available for physicians to rapidly and meaningfully leverage these guidelines are currently sub-optimal. Compliance improves greatly with the introduction of clinical decision support systems (CDSS), which implement guideline recommendations and are integrated into electronic health record (EHR) systems. Unfortunately, CPGs, as commonly distributed, contain recommendations for care of only a single disorder (or class of disorders) and are not easily consumable by computers for integration with CDSS. Recent work has focused on methods to resolve conflicts between guidelines, but only once they are in a computer interpretable form--a computer interpretable guideline (CIG). We aim (1) to develop a system for computational understanding of CPGs from the unstructured text, (2) to ground the clinical terms in each guideline in its definition so that the produced CIG can better integrate with electronic health record systems, and (3) to generate CIGs in a format already developed that allows guidelines to be mediated with each other and allows the creation of CDSS. The project will focus on four clinical guidelines, relating to diabetes, heart disease, non-small cell lung, and prostate cancers. Samples of each of the guidelines will be annotated by clinicians with the appropriate output of systems accomplishing each of the three aims. These samples will be split into datasets for testing and for evaluation, with the overall goal to achieve human levels of competence for each aim.",1,,,,,,1,,computer interoperability guidelines,1
20191299,Advancing patient safety for antipsychotic-treated children: examining state implementation of safe use practices,"This project will address, at scale, improvement of safe use practices for antipsychotic (AP) treatment of Medicaid children. Safe and judicious management of APs poses significant challenges, given hazards that include elevated risk of type 2 diabetes, weight gain, hyperglycemia, hyperlipidemia, and potential long-term impact on brain development. Safety evidence and guidelines highlight the importance of several key safe use practices that can help mitigate these risks, including monitoring blood glucose and lipids, avoiding concurrent use of multiple different APs, first-line use of non-pharmacological mental health services, and minimizing use among pre-school children. Prior AHRQ-supported projects have led to Healthcare Effectiveness Data and Information Set/Centers for Medicare & Medicaid Services (HEDIS/CMS) quality metrics for these practices, but their implementation is highly inconsistent. Many state initiatives have been implemented to improve these safe use practices, but the impact of alternative strategies for increasing safe use is unknown. Evidence on their effects is critically needed. We will use a mixed-methods strategy to identify and document state implementation of safe use initiatives; assess their impact on safe use metrics; investigate causal mechanisms underlying effectiveness; and actively disseminate results to state decision makers, health plans, clinical communities, and other stakeholders. This process will support translation, implementation, and improvement of effective strategies across states. We will provide a comprehensive analysis of systems-level strategies, using a national survey and case studies in 8 purposively sampled states, to investigate distinctive approaches. We will use key informant interviews and systematic document review to identify implementation timelines, strategies, causal mechanisms, barriers and solutions, and tools utilized. We will then use Medicaid claims data to assess change in the use of the targeted practices following the implementation of state systems-level strategies, using difference-in-difference, triple-difference, and other modeling strategies. States that did not implement similar initiatives will serve as comparators. Finally, we will actively disseminate an evidence-informed toolkit to state and stakeholder communities, utilizing active dissemination strategies successfully employed in prior AHRQ-supported partnerships. This toolkit will be developed to facilitate a self-assessment and prioritization of improvement initiatives, identification of other state strategies, and provide quality improvement and evaluation tools to assess effectiveness over time. Evidence development and active dissemination will assure that evidence on effective system improvement processes is available, understood, and effectively used to improve patient safety across populations of vulnerable children served by state Medicaid/Children's Health Insurance Program (CHIP) systems and reduce AP-related harms.",1,1,,,,,,,antipsychotic treatment w t1d,1
20191349,i-Matter: investigating an mHealth texting tool for embedding patient-reported data into diabetes management,"Uncontrolled type 2 diabetes (T2D) is a major health problem in the US that constitutes a significant cause of morbidity and mortality, particularly in vulnerable populations who continue to suffer disproportionately higher rates of complications. Despite the significant physical and psychosocial impact T2D has on patients' behavioral, functional, and clinical outcomes, much of clinical practice continues to neglect patients' perspective of their T2D giving preference to the physiological aspects of the disease. However, without incorporation of patients' perspective of their health and functional status into diabetes care, achievement of the outcomes desired by patients and primary care providers (PCP) will be unattainable. To address this gap, we will use the technology acceptance model and capability-opportunity-motivation model of behavior to evaluate the efficacy of a technology-based patient-reported outcome (PRO) system, the Modern Journal System (MJS), for management of T2D (MJS DIABETES). MJS is an innovative mobile platform that utilizes text messaging to capture PRO data in real time, enhances patient engagement through data-driven feedback and motivational messages, and creates dynamic data visualizations of the PRO data that can be shared through printed reports and integrated into the electronic health record (EHR). Using a mixed-methods design, we will conduct this study in two phases: 1) a formative phase, using the evidence-based, user-centered design approach; and 2) a clinical efficacy phase. The formative phase will use qualitative methods to a) adapt MJS DIABETES to the needs of PCP and patients with T2D; b) integrate MJS DIABETES into the EHR system, primary care practice, as well as the lives of patients with T2D; and c) evaluate the usability of MJS DIABETES in a subset of T2D patients and PCPs in order to optimize the tool's performance and workflow integration. For the clinical efficacy phase, we will evaluate in a randomized control trial, the efficacy of MJS DIABETES versus usual care (UC) on reduction in HbA1c at 12 months, among 282 patients with T2D who receive care in safety net practices. Patients randomized to the intervention arm will be enrolled in MJS DIABETES where they will receive and respond to PROs via text message, receive data-driven feedback and motivational messages based on patterns of their PROs, and receive journal reports over the 12-month study. PCPs will have access to reports of patients' PRO data through the MJS-EHR interface, which can be viewed during visits with the patient or asynchronously to track patient PROs between visits. Patients randomized to the UC arm will receive standard T2D treatment recommendations, as determined by their PCP. The primary outcome will be mean reduction in HbA1c from baseline to 12 months. Secondary outcomes will include changes in a) patient adherence to self-care behaviors (e.g., lifestyle and medication recommendations); and b) theoretical mediators of diabetes knowledge, self-efficacy, outcomes expectations, and patient-provider communication. Regardless of group assignment, all outcome data will be assessed at baseline, 3, 6, 9, and 12 months.",1,1,,,,,,,text messaging and PRO data within diabetes,1
20191453,Prevent Diabetes Mellitus (PreDM) Clinical Decision Support intervention in community health centers,"Eighty-six million U.S. adults have prediabetes, and up to 75% of them will eventually develop diabetes. Landmark clinical trials have established that intensive lifestyle interventions (ILI) and metformin are safe and effective treatments to prevent or delay diabetes in adults with prediabetes and overweight/obesity. Despite being included in expert clinical guidelines, these treatments are rarely used, and few studies have explored how to promote their uptake in practice. One possible approach for increasing adoption of ILI and metformin in primary care includes clinical decision support (CDS), which uses electronic systems to create tailored recommendations for evidence-based clinical care. While a large body of evidence demonstrates that CDS can improve the delivery of other recommended preventive services, this approach has not been definitively studied for ILI and metformin. We plan to address this critical knowledge gap by developing and evaluating the Prevent Diabetes Mellitus Clinical Decision Support (PreDM CDS) intervention for community health center patients with prediabetes and overweight/obesity. This novel CDS engages primary care providers and clinical staff to deliver the following intervention components: 1) a decision aid about diabetes prevention developed by our team, 2) an electronic health record (EHR) referral to community-based ILI that meet recommended program requirements, and 3) a prompt for providers to consider prescribing metformin. Clinicians will receive monthly feedback about their use of the PreDM CDS through an existing dashboard. By accomplishing the following specific aims, this definitive R18 study will test the potential for CDS to promote diabetes prevention and weight loss efforts in primary care. In aim 1, we will develop the proposed intervention by translating narrative guidelines about ILI and metformin into CDS, while incorporating extensive feedback from users. Aim 2 is a pragmatic cluster randomized trial, including 6 large community health center sites, which will examine the effectiveness of the PreDM CDS at inducing weight loss and improving other cardiometabolic markers. Aim 3 is a mixed-methods evaluation of the PreDM CDS, exploring its reach, adoption, implementation, maintenance, and cost. We hypothesize that the proposed PreDM CDS will increase patients' adoption of ILI and metformin, producing weight loss and improvements in other cardiometabolic markers. The resulting data, and an implementation toolkit created by the study team, will support the widespread dissemination of the PreDM CDS if found to be effective in the proposed study. Our proposal is responsive to PA-17-261 by 1) developing new CDS that incorporates evidence-based guidelines for diabetes prevention that are infrequently used in current clinical practice; 2) evaluating the impact of the proposed CDS on patient outcomes, clinical workflows, health care process measures, adherence to guidelines, and costs; and 3) conducting this R18 study in a health center-controlled network that serves a minority-predominant population and has the capacity to disseminate the proposed PreDM CDS throughout its national network of community health centers serving 2 million patients.",1,1,,1,,,,,intervention on providers to refer to community intervention,1
20191474,Ambulatory pediatric safety learning lab,"After almost two decades of research and quality improvement, hospitalized children in the US are safer from healthcare-related harm. The vast-majority of healthcare, however, is provided in the clinic and at home, and few studies in this context have demonstrated how to improve safety. Children are especially vulnerable to preventable harm caused by healthcare for many reasons, including weight-based medication dosing, handoffs between caregivers, and their limited ability to communicate evolving symptoms. At home, two in five children with chronic disease have a medication error. Of these, 3.6% are injured due to these errors--the same rate as hospitalized children. Among the 165,000 children with type 1 diabetes (T1D) nationally, 20% have poor glycemic control. The leading cause of death before age 30 among individuals with T1D is acute complications (e.g., severe hypoglycemia, diabetic ketoacidosis). One in 68 children have autism spectrum disorder (ASD). Of these children, 40% take antipsychotic medications, and most are not screened for complications. Management of chronic conditions with families is complex and offers a myriad of opportunities for system failures to occur that can lead to patient harm. We have identified 3 key opportunities to reduce the 2 most egregious harms in this setting--medication errors and treatment delays--in 2 different conditions. The Ambulatory Pediatric Patient Safety Learning Lab aims to 1) redesign processes for adjustment of medication dosing based on clinical information gathered by the patient/family to prevent medication errors (This will be studied in type 1 diabetes.); 2) create processes for patient/family medication monitoring and communication with clinic to prevent adverse drug events (This will be studied in children with autism spectrum disorder on antipsychotics.); and 3) design a workflow to plan for, detect, and prompt management of serious illness among children with chronic conditions at home (This will be studied in both populations.). This learning lab integrates design and systems engineering--in collaboration with Mad*Pow, and University of Wisconsin Systems Engineering Initiative for Patient Safety--with Cincinnati Children's expertise in patient-centered research and implementation. The overarching goal is to redesign systems of care and coordination between the clinic and home to eliminate harm due to healthcare in these settings. Problem analysis will include ethnography in the home and clinic, interviews, failure modes and effects analyses (FMEAs), and digital diaries. We will implement all interventions together in the simulated environment and evaluate using a randomized factorial trial. Finally, we will implement in our clinical system with qualitative and quantitative evaluation. The intent is to develop a scalable model which leverages health systems and patient/family strengths to ensure safe healthcare among all children. Upon completion of this proposal, our team is perfectly poised to scale this nationally through the Solutions for Patient Safety (SPS) Network and improve pediatric ambulatory safety across the US.",1,,1,,,,,,"medication errors in at-home treatment, t1d",1
20191538,Utilization management in the Medicare Part D program,"Utilization management policies, which include prior authorization requirements, step therapy protocols, and quantity limits, are becoming increasingly common in Medicare Part D plans. However, the health consequences of these policies for Medicare Part D beneficiaries who do not also (or did not in the past) have Medicaid coverage and who are not nursing home residents have not been well studied. The objectives of this project are to study the effect of utilization management policies on health and to disentangle the effect that denials of treatment due to utilization management have on health. We propose to study both overall prescription drug utilization and health outcomes as well as three specific clinical indications--diabetes, for whom effective drug therapy should prevent emergency room and hospital admissions due to elevated blood glucose; individuals with urinary tract infections; and pneumonia, which should, in most cases, be effectively treated in the outpatient setting with prescription drugs. To complete these objectives, we will analyze administrative claims data from the Medicare Parts A, B, and D programs, covering inpatient care, outpatient care, and prescription drugs, respectively. This project will inform policymakers about the implications of utilization management in the Medicare Part D program.",1,,,,,1,,,prior authrization impacts,1
20192048,SUpPress SSI: Single Use Negative Pressure Wound Therapy (NPWT) to Reduce Surgical Site Infections,"The proposed work: Specific aim 1 is to evaluate the effect of single-use negative pressure wound therapy (NPWT) on surgical site infection (SSI) rates after C-section, abdominal hysterectomy, and colon procedures in at-risk patients. To address this aim, we will conduct a multicenter, stepped-wedge, quasi-experimental trial evaluating use of the PrevenaTM with 125 mmHg negative pressure for 7 days among obese (BMI >30) and/or diabetic patients undergoing the procedures of interest. This is an effectiveness trial evaluating the effect of single-use NPWT on SSI rates among high-risk patients using a randomized stepped-wedge design. Six Epicenter hospitals will be included: University of Illinois Hospital (UIH), University of Iowa Hospital and Clinics (UIHC), University of Utah Hospital (UUH), Emory University Hospital Midtown (EUHM), Grady Memorial Hospital (GMH), and University of Maryland Medical Center (UMMC). If proposed improvement in SSI rates are demonstrated, this will provide more clear guidance for the use of the NPWT. Specific aim 2 is to investigate the patients' experience of using the NPWT. A subset of patients will be surveyed to assess their knowledge of post-operative care, to identify complications associated with NPWT use, and to learn how patients evaluated the device's ease of use, ease of removal, and comfort. This will identify barriers to implementation. Specific aim 3 is to assess whether real-time decision support through machine learning modeling can help surgeons identify patients at high risk of SSI who could benefit from NPWT or other post-surgical preventive measures. This will evaluate whether boosted tree modeling techniques can be used ""at the bedside"" via electronic medical record data feeds to tailor post-operative care and preventive care for specific patients. Participating hospitals will be surveyed to assess their readiness to submit data to the datamart. We will sequentially establish the data feed for each hospital. From the datamart, a model will be built for SSIs that could be prevented by the NPWT. In this way, it will refine the predictive value of the model for this specific intervention. The use of this modeling will help provide more personalized care plans for patients at greatest risk of SSI.",1,1,,,,,,,single use negative pressure,1
20192159,"Examining the relationship of periodontal treatment and improved health outcomes for coronary heart disease, cerebrovascular disease, and diabetes","Limited evidence suggests that periodontal treatment may improve cardiovascular and diabetes outcomes in some groups. Despite these findings, critical gaps remain in our understanding of the relationship between periodontal disease and these medical conditions. The proposed study will utilize a relational database combining 12 years of medical, pharmacy, laboratory, dental, and insurance claims data from a large, community-based, integrated health system to explore whether treatment of periodontal disease can improve select medical outcomes and reduce medical costs when controlling for confounders not previously addressed in studies utilizing observational data. By leveraging longitudinal (repeated measures) data, we will have access to more relevant measures over longer follow-up times relative to previous reports. In addition, we will use additional statistical approaches--compared side by side with traditional epidemiological results--that, by design, aim to control for unmeasured confounders (e.g., attitudes, personality, unobserved health habits) that remain relatively stable over time or aim to leverage quasi-experimental properties in the data (i.e., instrumental variables) to approximate causal effects as if periodontal treatment were randomly assigned. We anticipate that effect estimates may be attenuated (or even eliminated) relative to previously reported results when confounding is better controlled for by using richer data and more sophisticated analytic methods afforded by those richer data. If previous findings hold up to our more robust probing, we believe the added confidence in those results will bring substantial value to informing clinical priority setting.",1,1,,,,,,,periodontal disease and cardiometabolic disease,1
20193167,Multi-component Intervention for Diabetes in Adults with Serious mental illness (MIDAS),"Serious mental illnesses (SMI), including schizophrenia, bipolar disorder, and schizoaffective disorder, are associated with increased medical comorbidity and premature mortality from diabetes and cardiovascular disease. Unhealthy lifestyles, including energy-dense (obesogenic) diet, sedentary behavior, and cigarette smoking are important risk factors for diabetes and accelerated biological aging. All of these risk factors are potentially modifiable. There is considerable literature documenting the effectiveness of strategies to prevent and manage diabetes in the general population; yet, these interventions are rarely offered to people with SMI. Residential care facilities (RCFs), called board-and-care homes in California, are a common housing modality for patients with SMI; they provide a venue that can maximize efficiency and sustainability of a lifestyle intervention. The goals of the proposed four-year study are to tailor a multi-component intervention to this high-risk group. The study will be a hybrid effectiveness-implementation (hybrid type 1) trial of a Multi-component Intervention for Diabetes risk reduction in Adults with SMI (MIDAS) in licensed RCFs in San Diego county. As a hybrid type 1 study, the primary emphasis will be on determining the effectiveness of the intervention to achieve desired health outcomes while also systematically collecting data on its implementation within RCFs that will inform implementation strategy refinement. Main components of MIDAS include (1) education about diabetes and lifestyle, (2) dietary intervention at the facility and resident level, (3) increased physical activity, and (4) smoking cessation/reduction. We will employ a modified cluster-randomized, stepped-wedge, and adaptive trial design involving 210 residents with SMI and 120 staff members from 12 RCFs. The RCFs will be divided randomly into four cohorts of three RCFs each. Each cohort will be tested over a 15-month period that includes three phases: a three-month initial control phase (no intervention, from baseline month 0 to end of month 3), a six-month intervention phase (months 4 through 9), and a six-month follow-up phase (no intervention, months 10 through 15). All the study participants will be assessed quarterly during the 15-month period. Our investigators will train RCF staff (especially the activity director and cook) to increase physical activity and reduce smoking, and to implement healthful dietary modifications among the residents, using evidence-based interventions. During the intervention phase, the RCF activity director will conduct twice-weekly manualized group sessions on education about diabetes, nutrition, exercise, and smoking cessation/reduction, to deliver a multi-component group intervention. We will also explore if there are improvements in blood-based research biomarkers of insulin resistance and inflammation in the RCF residents with SMI. This project is responsive to RFA-MH-17-608 and related to National Institute of Mental Health (NIMH) Strategic Objective #3.3B: testing interventions for effectiveness in community practice settings. If successful, MIDAS will be sustained and disseminated, and would lead to reduction in excess medical comorbidity and mortality associated with SMI.",1,1,1,,,,,,SMI patients and caregivers,1
20193190,Improving diabetes outcomes and health disparities through a patient activation intervention addressing unmet resource needs,"Despite the high importance patients place on the role of cost in their care, evidence-based, scalable interventions are needed to address prevalent health-related financial burdens and unmet social determinants of health (SDHs) that impair the ability of adults with uncontrolled diabetes to adhere to effectively manage their condition. Solutions need to optimize the time of busy providers and overburdened delivery systems to address complex patient needs. The long-term goal of this research is to improve health behaviors and outcomes by better engaging patients in care, and to develop effective mechanisms that identify and address their unmet SDHs and health-related financial burdens that contribute to adverse health outcomes. In this study, we will refine and test the effectiveness of Care$olutions--an automated e-health tool for tailored screening of health-related financial burdens and unmet SDHs that informs and activates patients with uncontrolled diabetes to take steps in accessing resources and engaging in self-care. Our central hypothesis is that activating patients with uncontrolled diabetes and linking them to resources to address financial burden and unmet SDHs will improve both intermediate outcomes and measures of disease control (e.g., HbA1c) above and beyond existing services, especially for high-need patients. Guided by strong preliminary data, this hypothesis will be tested by pursuing two specific aims: 1) determine the effectiveness of Care$olutions relative to existing services in order to improve glycemic control and patient-centered outcomes such as cost-related non-adherence (CRN) behaviors and perceived financial burdens; and 2) use quantitative methods to examine the role of patient risk factors (moderators) and behavioral factors (e.g., uptake and use of resources) (mediators) on the effectiveness of Care$olutions in improving outcomes. We will use user-centered design to ensure that features of Care$olutions provide long-term sustainability. A total of 720 patients with uncontrolled diabetes (type 1 and type 2) who engage in CRN or perceive financial burden will be recruited from the University of Michigan Diabetes Registry and randomized to receive a 15- to 20-minute web-based program with routine follow-up (Care$olutions), versus contact information for existing assistance services in the health system. Outcomes will be assessed at baseline and 6- and 12-month follow-up via survey data (validated with health records) and HbA1c assessments. The proposed research is innovative because it provides a comprehensive, low-literacy e-health tool to guide patients through identification of health-related financial burdens and unmet SDHs that impact disease management, links them directly to resources, and provides training to address needs with providers. It addresses a significant gap in care by evaluating an approach to addressing patient needs that optimizes their health and the time of providers. The proposed research is significant because it is expected to yield an evidence-based scalable method to address resource needs of socioeconomically vulnerable populations to improve treatment adherence, reduce health disparities, and diabetes complications.",1,1,,,,,,,e health tool to screen for financial burden,1
20191066,Leveraging modern analytic approaches to improve diabetes outcomes,"Diabetic patients are at risk of developing diabetic heart disease, which may lead to complications in care. Diabetic heart disease patients not only have exceptionally high health care expenditures and resource utilization but also are likely to have poor patient outcomes. Studies have shown that early intervention of patients likely to develop diabetic heart disease is cost-effective and yields favorable health outcomes. Therefore, early identification of diabetic patients at high risk of developing diabetic heart disease is crucial to provide effective interventions. The commonly accepted methodology for diabetic heart disease risk prediction is the use of one or more risk scoring systems. However, these risk functions may not generalize well for the diabetes patient and may suffer from poor calibration when used on different cohorts. Moreover, the scoring systems have only been studied on coronary heart disease, one variant of diabetic heart disease, while heart failure and diabetic cardiomyopathy remain important, yet insufficiently studied, problems. Machine learning offers the ability to perform accurate predictive analytics and has been proposed as a way to identify and manage high-risk patients. The primary goal of this proposal is to develop a high-impact and practical risk prediction model that can be used to perform early identification of high-risk diabetic heart disease patients. Given the heterogeneity and complexity of patient information in electronic health records, the model needs to capitalize on the multidimensional temporal nature of patient records to extract identifying characteristics of patients that will develop diabetic heart disease. To accomplish this, we will leverage modern machine learning approaches such as tensor factorization and natural language processing to model complex patient characteristics, provide a more complete representation of the patient, and uncover excellent predictors of diabetic heart disease risk. An existing dataset that contains the de-identified electronic health records of approximately 4,100 diabetic patients from the Emory Healthcare System will be used to compare the predictive power of machine learning-based algorithms with the standard risk scoring systems. These algorithms will be evaluated on calibration, discrimination, and ease of interpretability. The results of this work will provide insight as to how to develop a machine learning-based prediction system that can identify high-risk diabetic heart disease patients. The study may also shed light on the best approaches for fusing data from multiple heterogeneous sources to build a better predictive model and potentially identify novel indicators of high-risk diabetic heart disease factors. Moreover, the work will help inform a larger multisite study of diabetic heart disease risk prediction and develop methods to generalize the results to a broader spectrum of comorbidities. This project is consistent with the National Library of Medicine's mission to translate biomedical research into practice.",1,,,,,,1,,risk prediction model,1
20193472,Comparative effectiveness of adding family supporter training and engagement to a community health worker (CHW)-led intervention to improve behavioral management of multiple risk factors for diabetes complications,"Challenges to controlling blood glucose, blood pressure, and cholesterol levels put 16 million U.S. adults at high risk of disabling diabetes complications. Diabetes self-management (DSM) interventions have struggled to deliver relevant, effective, and sustainable support for at-risk adults with diabetes to improve multiple key DSM behaviors, become more activated participants in health care, and reduce diabetes complications. One largely untapped resource for this support is patients' family and friends. Seventy-five percent of adults with diabetes reach out to an unpaid family member or friend (a family supporter) for ongoing help with diabetes management. However, diabetes management interventions to date lack structured and tested approaches to directly engage patients' supportive family members in promoting and sustaining patient activation and improved diabetes management. The objective of this study is to compare the effectiveness of a novel strategy--Family Partners for Health Action (FAM-ACT)--to individual patient-focused diabetes self-management education (DSME) and care management. FAM-ACT directly engages family supporters of at-risk adults with diabetes by providing them the core skills to allow them to effectively support health behavior change, medication adherence, and active engagement with patient's health care providers. A fundamental focus of FAM-ACT is providing family with the ability to give autonomy supportive and need-responsive help to patients. Community health workers (CHWs) will deliver FAM-ACT to low-income patients and their family supporters, plus take the novel step of helping family supporters integrate their efforts with those of patients' primary care teams. The specific aims of this study are to 1) compare the effect of FAM-ACT on patients' diabetes health outcomes to standard, individually focused, CHW-led DSME and care management (DSME+CM); 2) compare the effect of FAM-ACT on patient health behaviors and perceived support to standard, individually focused DSME+CM; and 3) examine whether health and health behavior gains made in FAM-ACT are better sustained after the intervention period than those made in DSME+CM. A total of 240 patient + family member pairs will be randomized to FAM-ACT or DSME+CM for 12 months. Main diabetes health outcomes will include change from baseline to 12 months in UKPDS (United Kingdom Prospective Diabetes Study) 5-year cardiac risk score, HbA1c, and systolic blood pressure. Main patient behavioral outcomes will include diabetes self-management behaviors, and perceived social support and autonomy supportiveness from family. Sustainability will be assessed at 18 months, after a period of 6 months without CHW intervention. We expect this study to produce an innovative, evidence-based protocol and tool set that leverages family support to help patients optimize and sustain management of multiple diabetes complication risk factors over time. This project is innovative because it provides family supporters with underlying support, communication, and health behavior facilitation techniques that can be applied to improving and sustaining multiple healthy behaviors underlying diabetes management, combines the potential additional effectiveness and sustainability of effective family support with the demonstrated effectiveness of CHWs, and integrates family support with patient-centered medical care.",1,1,1,,,,,,family and individual self management,1
20183164,Advancing chronic condition symptom cluster science through use of electronic health records and data science techniques,"Despite their adverse impact on patient quality of life and health care utilization and costs, symptom clusters (SCs) in common adult chronic conditions such as cancer, heart failure (HF), type 2 diabetes mellitus (T2DM), and chronic obstructive pulmonary disease (COPD) are understudied and poorly understood. The lack of access to real-world, longitudinal patient symptom data sets and inability to adequately model the complexity of SCs have greatly limited research. Based on our previous work, we propose that these gaps can be addressed in an innovative way using electronic health records (EHRs) and data science techniques. Our overall objective is to develop, apply and refine, and implement an optimized data processing and analysis pipeline for the characterization of SCs in common adult chronic conditions for use with EHR data. We hypothesize that a core set of SCs is shared among all common adult chronic conditions and that distinct SCs characterize specific conditions and/or treatments. The long-term training goal of this project is to assist Dr. Koleck in becoming an independent investigator conducting a program of research dedicated to mitigating symptom burden in patients with chronic conditions through use of informatics and omics (e.g., genomics and proteomics), the focus of her pre-doctoral work. Using exceptional resources available from Columbia University, the K99 phase of this project will focus on the development of a rigorous pipeline; essential competencies in SC analysis and interpretation; and the data science techniques of clinical data mining, natural language processing, machine learning, and data visualization. In the R00 phase, Dr. Koleck will independently implement the pipeline in another medical center to determine the reproducibility of identified SCs and begin to explore clinical predictors (e.g., socio-demographics, laboratory results, and medications) of SCs. The specific aims are to 1) develop a data-driven pipeline for the characterization of SCs from EHRs using a cohort of adult patients diagnosed with cancer, as SCs have been most systematically characterized in this condition; 2) apply the pipeline to three other common adult chronic conditions that share biological and behavioral risk factors with cancer, i.e., HF, T2DM, and COPD, and evaluate SCs in these conditions; and 3) determine if SCs differ for cancer, HF, T2DM, and COPD when implementing the pipeline within another medical center and explore clinically relevant, EHR-documented predictors of identified SCs. To accomplish research aims and training goals, an interdisciplinary team of scientists with expertise in symptom science, biomedical informatics, data science, pertinent clinical domains, and career development mentorship has been assembled. This research is significant because a pipeline that accommodates the format in which symptom data is already being documented in EHRs has the potential to greatly accelerate the acquisition of SC knowledge and expedite clinical translation of symptom mitigation strategies. Given the array of new competencies to be developed, this K99/R00 award is necessary for achieving the candidate's career goal of advancing chronic condition symptom science.",1,,,,,,1,,symptom cluster identifiecation with ML,1
20191144,Practical Telemedicine to Improve Control and Engagement for Veterans with Clinic-Refractory Diabetes Mellitus (PRACTICE-DM),"This study will evaluate a comprehensive telemedicine intervention for veterans with persistently poor diabetes control despite clinic-based Veterans Health Administration (VHA) care. Because this approach is designed for delivery via existing home telehealth (HT) services, which are ubiquitous throughout VHA, it may represent an effective, practical alternative for veterans whose diabetes is refractory to clinic-based care. Although efforts by clinicians and researchers have improved diabetes control across VHA, veterans with persistent poorly controlled diabetes mellitus (PPDM) have not benefitted from these advances. We define PPDM as maintenance of a hemoglobin A1c (HbA1c) 8.5% for >1 year, despite receiving clinic-based diabetes care during this period. Veterans meeting this definition--approximately 12% of all veterans with type 2 diabetes--contribute disproportionately to VHA's burden of diabetes complications and costs. While clinic-based care is insufficiently effective in PPDM, telemedicine-based management that comprehensively addresses factors underlying poor diabetes control could improve outcomes for these high-risk veterans. Unfortunately, health care systems have rarely integrated comprehensive telemedicine-based care into real-world practice, even for clinic-refractory conditions like PPDM. This gap stems from the fact that comprehensive telemedicine-based diabetes care has not previously been designed for practical delivery under real-world conditions. In order for telemedicine to fulfill its potential as a means to reduce the burden of PPDM, interventions must be developed with an emphasis on feasible delivery through existing workforce, infrastructure, and technical resources, such that effective implementation is eventually achievable. Until then, veterans with PPDM will be left without alternatives when clinic-based care proves inadequate. Objectives: The proposed trial will evaluate Practical Telemedicine to Improve Control and Engagement for Veterans with Clinic-Refractory Diabetes Mellitus (PRACTICE-DM), a novel, comprehensive telemedicine intervention for PPDM that is designed for practical delivery within VHA. The specific aims of this study are to 1) determine PRACTICE-DM's effectiveness; 2) evaluate PRACTICE-DM's acceptability and mechanisms of effect using a mixed-method process evaluation; and 3) understand costs associated with PRACTICE-DM. Methods: Two hundred veterans with PPDM from two sites (Durham, North Carolina and Richmond, Virginia) will be randomized to receive one of two HT-delivered interventions: 1) PRACTICE-DM, a comprehensive intervention combining telemonitoring, self-management support, diet/activity support, medication management, and depression support; or 2) an active control, standard HT care coordination and telemonitoring. Both interventions will be delivered over a 12-month period and all participants will continue to receive usual VHA care. The primary study outcome will be change in HbA1c from study baseline to 12 months. The secondary outcomes are guided by a theoretical framework, and will include diabetes self-care, diabetes burden, self-efficacy, and depressive symptoms. Qualitative interviews will be conducted with 20 intervention-group veterans, the HT nurses delivering the intervention, and administrators at each site. Intervention costs will be comprehensively assessed and compared to standard HT care coordination and telemonitoring. Findings: None to date. Impact: Although VHA is a leader in telemedicine, its telemedicine capabilities are currently underutilized for veterans with PPDM. These veterans are refractory to clinic-based care, so contribute disproportionately to diabetes complications and costs. This study will leverage VHA's unique telemedicine infrastructure to deliver comprehensive management designed for PPDM, with the goal of improving outcomes in this high-risk, high-cost population. Because the proposed intervention is designed for delivery using existing HT services, it may represent an effective, practical approach to reducing the burden of poor diabetes control across VHA.",1,1,1,,,,,,telemedicine intervention  ,1
